scenario_variation,model,row_wise,observations_attempted,correct,percent_error,run_time,input_tokens_used,output_tokens_used,cost,source_file
"modified_gravity_power_law-10.1M, 5.6 M, Modified Gravity 2.03",claude-3-5-haiku-20241022,False,,False,32.11853293618661,19.95,6127,841,0.008265600000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"modified_gravity_power_law-10.1M, 5.6 M, Modified Gravity 2.03",claude-3-5-haiku-20241022,False,,False,17.559266468093305,19.65,4378,823,0.0067944,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"modified_gravity_power_law-10.1M, 5.6 M, Modified Gravity 2.03",claude-3-5-haiku-20241022,False,,False,17.559266468093305,19.82,4378,823,0.0067944,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"modified_gravity_power_law-10.1M, 5.6 M, Modified Gravity 1.97",claude-3-5-haiku-20241022,False,,False,32.587165061281155,24.9,6372,1009,0.0091336,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"modified_gravity_power_law-10.1M, 5.6 M, Modified Gravity 1.97",claude-3-5-haiku-20241022,False,,False,34.587165061281155,21.14,4210,768,0.00644,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"modified_gravity_power_law-10.1M, 5.6 M, Modified Gravity 1.97",claude-3-5-haiku-20241022,False,,False,34.587165061281155,20.58,4210,768,0.00644,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.9699459789829245,17.87,5788,793,0.007802400000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.8871859402902167,26.29,9509,1398,0.013199200000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,98.99863214587305,15.16,5704,591,0.0069272000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,3.3734030031097645e-07,30.85,11359,1512,0.0151352,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9999986353547727,31.36,12514,1610,0.0164512,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9999986353547727,33.06,12514,1610,0.0164512,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.39505581890157343,26.25,12692,1239,0.0151096,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9999571349534759,54.5,25359,3229,0.0332032,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"multiply_mass_period-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9961353076665623,17.13,6070,744,0.007832,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999998645586306,12.03,3673,460,0.0047784,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999998645586306,12.31,3673,460,0.0047784,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999998645586306,12.07,3673,460,0.0047784,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999998640873676,13.77,3679,465,0.0048032000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999998640873676,16.34,3679,465,0.0048032000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999998640873676,15.43,3679,465,0.0048032000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,8.999998646619545,14.81,3658,455,0.0047464000000000004,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,8.999998646619545,12.87,3658,455,0.0047464000000000004,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star1-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,8.999998646619545,12.65,3658,455,0.0047464000000000004,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999986062293326,16.04,3725,501,0.004984000000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999986062293326,13.77,3725,501,0.004984000000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,8.999986062293326,17.78,3725,501,0.004984000000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9999999999993631,12.41,3672,452,0.0047456,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9999999999993631,12.03,3672,452,0.0047456,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9999999999993631,12.67,3672,452,0.0047456,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,49.62499313827441,18.53,3904,694,0.0058992,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,49.624993138277844,12.84,3906,454,0.0049408,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"orbital_area_star2-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,49.624993138277844,13.11,3906,454,0.0049408,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.0,11.31,3687,467,0.0048176,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.0,13.19,3804,566,0.0053072,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.0,13.98,3899,526,0.005223200000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,1.3020565081035455e-16,11.7,3687,467,0.0048176,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,1.3020565081035455e-16,12.45,3743,508,0.0050264,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,1.3020565081035455e-16,13.36,3869,556,0.0053192,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-3.1 M, 0.18 M, Elliptical, Single Orbit",claude-3-5-haiku-20241022,False,,True,1.2914220573347411e-15,11.38,3676,466,0.0048048000000000006,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-3.1 M, 0.18 M, Elliptical, Single Orbit",claude-3-5-haiku-20241022,False,,True,1.2914220573347411e-15,13.0,3789,504,0.0050472,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-3.1 M, 0.18 M, Elliptical, Single Orbit",claude-3-5-haiku-20241022,False,,True,1.2914220573347411e-15,14.26,4217,594,0.0057496000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,1.9151571757628878e-16,12.76,3677,466,0.0048056,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,4.979408656983508e-15,14.85,3784,553,0.0052392,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"periastron-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,1.9151571757628878e-16,13.82,3887,525,0.0052096,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9998976109215018,19.43,8752,845,0.0103816,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,4.6096958560616365e-12,19.08,6394,874,0.0086112,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,4.6096958560616365e-12,18.54,6520,840,0.008576,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,True,0.0,22.38,8209,1143,0.0111392,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,True,1.168500034663312e-12,16.25,5914,788,0.0078832,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,True,2.8767607236363845e-11,18.5,6304,932,0.0087712,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,1.7461472136078249e-12,15.75,5623,740,0.0074584000000000004,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,0.0005802047763051616,28.55,11654,1666,0.0159872,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,1.7461472136078249e-12,21.66,6293,844,0.0084104,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9999668879654312,16.43,5594,734,0.0074112,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9999668879654312,23.69,8261,1155,0.0112288,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,True,1.10953198351815e-12,15.78,5960,749,0.007764,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,3.4129723634385856e-06,25.11,8721,1434,0.0127128,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,5.640835022415129e-13,27.43,10061,1511,0.014092799999999999,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.0,20.89,6309,928,0.008759200000000002,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.999739182730736,41.15,15532,2357,0.0218536,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,True,0.00013443814276546562,27.89,11558,1587,0.0155944,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,True,0.00012192269871236598,14.75,4082,661,0.005909600000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,True,3.412967935706279e-06,27.05,9133,1444,0.013082400000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,True,3.412967935706279e-06,27.83,9133,1444,0.013082400000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"period-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,True,3.412967935706279e-06,27.48,9133,1444,0.013082400000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9587883815393236,19.08,5874,884,0.0082352,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9587883815393236,21.69,5874,884,0.0082352,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9587883815393236,19.32,5874,884,0.0082352,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,1.0,27.42,9094,1242,0.012243200000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.9777374355737366,24.45,8105,1249,0.01148,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.008435563640580306,22.46,4709,875,0.0072672,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.9999999999999998,25.58,6457,1001,0.0091696,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.6628528211483502,29.42,10370,1564,0.014552,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,6504200134562660.0,28.01,9836,1110,0.0123088,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,False,0.9688350485070233,19.97,5811,824,0.0079448,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,False,0.9961044347035698,25.59,7518,1308,0.0112464,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,False,0.9961044347035698,22.55,6514,864,0.0086672,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.9777426447913918,18.62,4178,817,0.0066104,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.9777426447913918,19.38,4363,883,0.0070224,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.9777436125496942,23.18,6171,935,0.0086768,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,False,0.9835691516961633,20.86,6061,976,0.0087528,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,False,0.9777374355754721,21.01,6191,870,0.0084328,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,False,0.9777374355754721,22.59,6208,885,0.0085064,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9624196812082273,23.77,6419,917,0.0088032,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9624518653236641,22.04,4664,1030,0.0078512,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"reduced_mass-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9624518653236641,23.82,7572,973,0.0099496,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"roche_lobe_radius-3.1 M, 0.18 M Elliptical",claude-3-5-haiku-20241022,False,,False,0.12339695427789883,22.54,5872,920,0.0083776,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"roche_lobe_radius-3.1 M, 0.18 M Elliptical",claude-3-5-haiku-20241022,False,,False,0.12339695427789883,17.83,6002,777,0.0079096,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"roche_lobe_radius-3.1 M, 0.18 M Elliptical",claude-3-5-haiku-20241022,False,,False,0.12339695427789883,16.59,5650,720,0.0074,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.0,17.43,7704,751,0.0091672,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.19999011069073191,14.92,6004,575,0.0071032000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-21.3 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.6000197786185362,12.46,3864,454,0.0049072000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,True,0.0,13.82,5543,589,0.0067904,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.1999901106903772,15.31,6011,583,0.0071408,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,0.1999901106903772,14.81,6011,583,0.0071408,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.18000916906038653,15.06,5609,677,0.0071952000000000006,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,True,0.0,12.27,4037,529,0.005345600000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.19999011069051795,14.99,4005,599,0.0056,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.18001333745449175,15.46,3951,604,0.0055768,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.1999804894186096,13.62,3954,579,0.0054792,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, yrAUMsun",claude-3-5-haiku-20241022,False,,False,0.1999804894186096,13.34,3954,579,0.0054792,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,False,0.32001957332702097,21.07,7978,962,0.0102304,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,True,0.0,13.65,5945,639,0.007312000000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, Proper Motion",claude-3-5-haiku-20241022,False,,True,0.0,13.64,5945,639,0.007312000000000001,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,False,0.6000197785725189,16.76,3753,561,0.0052464,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,False,0.6000197785725189,13.99,3753,561,0.0052464,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, cgs",claude-3-5-haiku-20241022,False,,False,0.6000197785725189,13.55,3753,561,0.0052464,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.40502488078263077,18.87,5748,711,0.0074424,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9000296554456851,14.81,6009,582,0.0071351999999999995,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis-9.6 M, 3.1 M, Proper Motion2",claude-3-5-haiku-20241022,False,,False,0.9000296554456851,14.59,6009,582,0.0071351999999999995,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis_star1-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.100080980494219,12.5,3674,492,0.0049072000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis_star1-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.100080980494219,12.4,3719,519,0.0050512000000000005,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis_star1-0.18 M, 0.63 M",claude-3-5-haiku-20241022,False,,False,0.6578501447520213,10.61,3640,415,0.004572,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
"semi_major_axis_star1-9.6 M, 3.1 M",claude-3-5-haiku-20241022,False,,False,3.611734317367194,13.23,3682,482,0.0048736,claude-3-5-haiku-20241022_18-01_15_55_53/claude-3-5-haiku-20241022_18-01_15_55_53.json
